Unnamed: 0,address,city,floor,id,latitude,longitude,price,rooms,sq,year
1102,Wola,Warszawa,10.0,13073.0,52.2362379,20.9547815,813595.0,3.0,52.48,2021.0
1103,Nowe Miasto Rataje Os Rusa,Poznan,4.0,69.0,52.3887164,16.9871271,420000.0,3.0,62.9,1979.0
1104,Biaoeka Wyspiarska,Warszawa,5.0,15271.0,52.3179666,20.9962469,548000.0,4.0,79.0,2020.0
1105,Podgorze Paszow pk Ryszarda Kuklinskiego,Krakow,2.0,21983.0,50.04450785,19.9731901,372857.0,2.0,34.46,2021.0
1106,Ursus,Warszawa,2.0,11865.0,52.1960985,20.8828989,549524.0,4.0,58.0,2022.0
1107,Mokotow ul Zygmunta Modzelewskiego,Warszawa,9.0,10938.0,52.18535965,21.01424635496276,410000.0,1.0,32.0,1976.0
1108,BiezanowProkocim Wielicka 179,Krakow,3.0,27886.0,50.0102971,20.00857,464555.0,3.0,51.05,2021.0
1109,Wola Odolany Jana Kazimierza,Warszawa,4.0,13495.0,52.2245316,20.9479724,674000.0,2.0,46.0,2014.0
1110,Stare Miasto Naramowice,Poznan,0.0,3383.0,52.4496489,16.9494082,350698.0,2.0,59.26,2021.0
1111,Bemowo ul Narwik,Warszawa,0.0,9567.0,52.2419339,20.8977214,999999.0,4.0,75.0,2016.0
1112,Podgorze Kazimierza Siemienowicza,Krakow,3.0,22561.0,50.0380294,19.99559564674397,660000.0,3.0,75.1,2002.0
1113,Mistrzejowice,Krakow,2.0,29855.0,50.09742625,20.00960263225891,399977.0,3.0,50.63,2022.0
1114,Ursus ul Posag 7 Panien,Warszawa,3.0,13473.0,52.2059446,20.8852777,840000.0,3.0,80.0,2019.0
1115,Mokotow Gorny Mokotow Wielicka,Warszawa,3.0,12135.0,52.1842522,21.0200401,1099900.0,2.0,58.46,2016.0
1116,Mistrzejowice,Krakow,4.0,23665.0,50.09742625,20.00960263225891,695457.0,4.0,83.79,2020.0
1117,Jezyce ul w Wawrzynca 11,Poznan,0.0,5088.0,52.4201252,16.8956979,357050.4,2.0,44.52,2022.0
1118,Podgorze Duchackie Malwowa,Krakow,4.0,21012.0,50.0165004,19.9482471,460000.0,2.0,49.2,2004.0
1119,Bielany ul Rudzka 5,Warszawa,5.0,7706.0,52.27851165,20.9734368,846400.0,3.0,58.59,2021.0
1120,Grzegorzki Dsbie,Krakow,0.0,25655.0,50.0587985,19.9758208,380000.0,2.0,39.15,1960.0
